,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,"Career high, Blocks",Triple-Doubles
0,Jerry Nagel,1949-50,21.0,['FTW'],NBA,,14.0,,,0.4,2.0,0.214,,,,,,,,0.1,0.3,0.25,,,,1.3,,,,0.8,0.9,0,4.0,,3.0,,,,,0,0,0,,1949,,
0,Jaylen Nowell,2019-20,20.0,['MIN'],NBA,SG,65.0,2.0,19.3,4.3,9.6,0.475,1.2,3.6,0.394,3.3,6.0,0.593,0.551,1.2,1.5,0.941,0.6,2.1,2.6,2.1,0.6,0.3,1.0,1.7,10.8,0,30.0,9.0,7.0,3.0,30.6,['WASHINGTON'],https://www.basketball-reference.com/req/202106291/images/headshots/nowelja01.jpg,0,0,0,13,2019,2.0,
0,Jim Nolan,1949-50,22.0,['PHW'],NBA,,5.0,,,0.8,4.2,0.19,,,,,,,,0.0,0.0,,,,,0.8,,,,2.8,1.6,0,6.0,,1.0,,,['GATECH'],,0,0,0,6,1949,,
0,Kendrick Nunn,2019-20,24.0,['MIA' 'TOT' 'LAL' 'WAS'],NBA,PG,70.0,67.0,29.5,6.0,13.6,0.485,2.2,5.8,0.392,3.9,7.8,0.583,0.578,1.3,1.5,0.933,0.4,2.8,3.2,3.3,0.9,0.3,1.7,2.3,15.3,1,36.0,8.0,9.0,4.0,28.5,['ILLINOIS' 'OAKLAND'],https://www.basketball-reference.com/req/202106291/images/headshots/nunnke01.jpg,0,0,0,,,2.0,
0,Eduardo Nájera,2000-01,24.0,['DAL' 'TOT' 'GSW' 'DEN' 'NJN' 'CHA'],NBA,PF,78.0,36.0,23.0,2.9,5.8,0.576,0.7,1.9,0.5,2.9,5.5,0.594,0.578,1.6,2.4,0.781,2.4,3.1,5.5,1.2,1.0,0.5,1.1,3.0,6.9,1,19.0,15.0,7.0,6.0,21.0,['OKLAHOMA'],https://www.basketball-reference.com/req/202106291/images/headshots/najered01.jpg,0,0,0,9,2000,4.0,
0,Stan Noszka,1946-47,26.0,['PIT' 'BOS'],BAA,,58.0,,,3.4,11.9,0.287,,,,,,,,1.9,2.7,0.694,,,,0.8,,,,2.8,8.7,0,25.0,,3.0,,,,,0,0,0,,,,
0,Georges Niang,2016-17,23.0,['IND' 'UTA' 'PHI'],NBA,PF,78.0,10.0,22.8,3.2,7.4,0.475,2.1,5.1,0.425,1.2,2.3,0.576,0.596,0.7,0.8,1.0,0.4,2.3,2.7,1.3,0.4,0.2,0.8,2.5,9.2,0,24.0,10.0,6.0,4.0,20.1,['IOWAST'],https://www.basketball-reference.com/req/202106291/images/headshots/niangge01.jpg,0,0,0,20,2016,2.0,
0,Dennis Nutt,1986-87,23.0,['DAL'],NBA,PG,25.0,0.0,3.6,0.6,1.6,0.4,0.2,0.7,0.294,0.4,0.9,0.478,0.463,0.8,0.9,0.909,0.0,0.3,0.3,0.6,0.3,0.0,0.4,0.2,2.3,0,11.0,3.0,4.0,2.0,9.1,['TXCHRIST'],,0,0,0,,,,
0,Boniface N'Dong,2005-06,28.0,['LAC'],NBA,C,23.0,1.0,6.6,1.0,2.3,0.415,0.0,0.0,0.0,1.0,2.3,0.423,0.415,0.3,0.4,0.667,0.7,1.0,1.6,0.3,0.1,0.2,0.3,1.0,2.2,0,6.0,7.0,3.0,1.0,6.4,,,0,0,0,,,2.0,
0,Jack Nichols,1948-49,22.0,['WSC' 'TOT' 'TRI' 'MLH' 'BOS'],BAA,PF,75.0,,38.1,6.2,17.0,0.413,,,,,,,,4.0,5.2,0.8,,,10.5,3.4,,,,3.8,15.8,1,36.0,24.0,8.0,,,['WASHINGTON'],,0,1,0,12,1948,,
0,James Nunnally,2013-14,23.0,['TOT' 'ATL' 'PHI' 'MIN' 'HOU' 'NOP'],NBA,SF,15.0,0.0,19.0,1.5,6.5,0.429,1.5,6.0,0.385,0.8,2.0,1.0,0.548,0.8,1.0,1.0,0.3,1.8,2.0,1.0,0.6,0.3,1.0,3.0,4.5,1,9.0,3.0,3.0,2.0,8.6,['UCSB'],https://www.basketball-reference.com/req/202106291/images/headshots/nunnaja01.jpg,0,0,0,,,1.0,
0,Ira Newble,2000-01,26.0,['SAS' 'ATL' 'CLE' 'TOT' 'SEA' 'LAL'],NBA,SF,74.0,69.0,30.3,3.2,6.4,0.498,0.5,1.2,0.533,3.1,6.1,0.52,0.541,1.8,2.1,0.852,1.9,3.4,5.3,1.4,0.9,0.5,1.2,2.8,8.0,1,23.0,12.0,6.0,4.0,23.8,['MIAMIOH'],,0,0,0,,,3.0,
0,Moochie Norris,1996-97,23.0,['VAN' 'SEA' 'HOU' 'TOT' 'NYK' 'NOK'],NBA,PG,82.0,26.0,27.4,3.1,7.7,0.446,0.5,1.6,0.444,2.6,6.1,0.491,0.476,1.9,2.4,1.0,0.9,2.1,3.0,4.9,1.0,0.1,1.9,1.6,8.1,1,28.0,9.0,17.0,4.0,23.8,['AUBURN' 'WFLORIDA'],,0,0,0,4,1996,2.0,
0,Dyron Nix,1989-90,22.0,['IND'],NBA,SF,20.0,0.0,5.5,0.7,2.0,0.359,0.0,0.0,,0.7,2.0,0.359,0.359,0.6,0.8,0.688,0.4,0.9,1.3,0.3,0.2,0.1,0.4,0.8,2.0,0,8.0,7.0,2.0,1.0,8.6,['TENNESSEE'],,0,0,0,2,1989,1.0,
0,Barry Nelson,1971-72,22.0,['MIL'],NBA,C,28.0,,3.6,0.5,1.3,0.417,,,,,,,,0.2,0.4,0.5,,,0.7,0.3,,,,0.8,1.3,0,8.0,3.0,1.0,,,['DUQUESNE'],,0,0,0,17,1971,,
0,Zeke Nnaji,2020-21,20.0,['DEN'],NBA,PF,53.0,5.0,17.0,2.3,4.5,0.561,0.9,2.0,0.463,1.8,2.6,0.71,0.616,1.0,1.6,0.8,1.4,2.2,3.6,0.4,0.4,0.4,0.6,2.0,6.6,0,21.0,11.0,2.0,4.0,17.3,['ARIZONA'],https://www.basketball-reference.com/req/202106291/images/headshots/nnajize01.jpg,0,1,0,22,2020,2.0,
0,Dave Newmark,1968-69,22.0,['CHI' 'ATL' 'CAR'],NBA,C,81.0,,14.7,3.2,6.7,0.478,0.0,0.0,,3.2,6.7,0.478,0.478,1.1,1.9,0.766,1.5,3.6,5.1,0.9,,,1.3,2.7,7.5,0,22.0,14.0,5.0,,,['COLUMBIA'],,0,0,0,9,1968,,
0,Rich Niemann,1968-69,22.0,['TOT' 'DET' 'MIL' 'BOS' 'CAR' 'FLO' 'DLC'],NBA,C,69.0,,23.3,4.5,9.5,0.502,0.0,0.0,,4.5,9.5,0.502,0.502,2.2,3.0,1.0,2.7,6.2,8.9,1.4,,,2.2,3.5,11.3,1,25.0,23.0,5.0,,,['STLOUIS'],,0,0,0,6,1968,,
0,Kenny Natt,1980-81,22.0,['IND' 'UTA' 'TOT' 'KCK'],NBA,SG,22.0,0.0,9.5,1.7,4.1,0.521,0.1,0.4,0.25,1.7,3.6,0.535,0.521,0.5,1.0,0.643,0.5,0.7,1.0,1.3,0.3,0.1,1.0,1.6,3.9,1,16.0,5.0,5.0,2.0,17.5,['ULAMO'],,0,0,0,7,1980,1.0,
0,Maurice Ndour,2016-17,24.0,['NYK'],NBA,PF,32.0,4.0,10.3,1.2,2.7,0.453,0.0,0.2,0.143,1.2,2.5,0.481,0.459,0.6,0.8,0.731,0.7,1.3,2.0,0.3,0.5,0.3,0.4,0.9,3.1,0,15.0,12.0,2.0,2.0,15.7,['OHIO'],https://www.basketball-reference.com/req/202106291/images/headshots/ndourma01.jpg,0,0,0,,,3.0,
0,Paul Nolen,1953-54,24.0,['BLB'],NBA,,1.0,,2.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,,,,1.0,0.0,,,,1.0,0.0,0,,1.0,,,,['TXTECH'],,0,0,0,,1953,,
0,Frank Ntilikina,2017-18,19.0,['NYK' 'DAL'],NBA,PG,78.0,26.0,21.9,2.3,6.6,0.399,0.8,2.7,0.479,1.7,4.4,0.477,0.513,0.9,1.0,0.96,0.5,1.8,2.3,3.2,0.9,0.3,1.7,2.5,6.3,0,20.0,7.0,11.0,6.0,21.3,,https://www.basketball-reference.com/req/202106291/images/headshots/ntilila01.jpg,0,0,0,8,2017,3.0,
