,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles,College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year
0,Mike D'Antoni,1973-74,22.0,['KCO' 'TOT' 'KCK' 'SSL' 'SAS'],NBA,SG,67.0,,19.0,2.1,5.1,0.475,0.0,0.1,0.0,2.1,5.1,0.487,0.475,0.6,1.0,1.0,0.5,1.3,1.8,2.4,1.4,0.3,0.9,2.7,4.8,1,16.0,7.0,11.0,7.0,2.0,3.5,,['MARSHALL'],,0,0,0,2,1973
0,JD Davison,2022-23,20.0,['BOS'],NBA,SG,12.0,0.0,5.5,0.7,1.6,0.421,0.2,0.6,0.286,0.5,1.0,0.5,0.474,0.1,0.2,0.5,0.2,0.6,0.8,0.9,0.2,0.2,0.3,0.4,1.6,0,8.0,3.0,3.0,1.0,2.0,7.0,,['ALABAMA'],https://www.basketball-reference.com/req/202106291/images/headshots/davisjd01.jpg,0,0,0,23,2022
0,Dick Dickey,1951-52,25.0,['BOS'],NBA,PG,45.0,,9.8,0.9,3.0,0.294,,,,,,,,1.0,1.5,0.681,,,1.8,1.1,,,,1.8,2.8,0,15.0,6.0,5.0,,,,,['NCSTATE'],,0,0,0,2,1950
0,Sam Dekker,2015-16,21.0,['HOU' 'LAC' 'TOT' 'CLE' 'WAS' 'TOR'],NBA,PF,77.0,5.0,18.8,2.6,5.6,0.494,0.8,2.4,0.385,2.2,4.2,0.593,0.543,0.9,1.1,0.8,1.2,2.7,3.7,1.0,1.2,0.3,0.6,1.4,6.5,1,30.0,11.0,4.0,3.0,2.0,23.4,,['WISCONSIN'],https://www.basketball-reference.com/req/202106291/images/headshots/dekkesa01.jpg,0,0,0,18,2015
0,Mickey Dillard,1981-82,23.0,['CLE'],NBA,PG,33.0,0.0,6.7,0.9,2.4,0.367,0.0,0.1,0.0,0.9,2.3,0.387,0.367,0.5,0.7,0.652,0.2,0.3,0.5,1.0,0.2,0.1,0.5,1.2,2.2,0,8.0,3.0,5.0,2.0,1.0,6.9,,['FLORIDAST'],,0,0,0,9,1981
0,Bob Davies,1948-49,29.0,['ROC'],BAA,PG,72.0,,36.8,5.8,15.2,0.415,,,,,,,,5.3,7.1,0.795,,,3.1,6.0,,,,4.1,16.2,0,33.0,9.0,20.0,,,,,['SETONHALL'],https://www.basketball-reference.com/req/202106291/images/headshots/daviebo01.jpg,4,1,0,,
0,Hubert Davis,1992-93,22.0,['NYK' 'TOR' 'DAL' 'TOT' 'WAS' 'DET' 'NJN'],NBA,SG,82.0,30.0,29.4,4.3,9.5,0.486,1.7,3.6,0.526,3.3,6.7,0.509,0.598,1.5,1.8,1.0,0.7,1.8,2.1,3.3,0.7,0.1,1.7,2.1,11.1,1,32.0,8.0,9.0,3.0,2.0,29.5,,['UNC'],https://www.basketball-reference.com/req/202106291/images/headshots/davishu01.jpg,0,0,0,20,1992
0,Eric Dawson,2011-12,27.0,['SAS'],NBA,C,4.0,0.0,9.8,1.8,3.0,0.583,0.0,0.0,,1.8,3.0,0.583,0.583,0.3,0.5,0.5,1.3,1.3,2.5,0.0,0.3,0.5,0.8,1.5,3.8,0,9.0,6.0,,1.0,1.0,5.7,,,https://www.basketball-reference.com/req/202106291/images/headshots/dawsoer01.jpg,0,0,0,,
0,Coby Dietrick,1970-71,22.0,['MMP' 'DLC' 'SAA' 'SAS' 'CHI'],ABA,C,84.0,0.0,25.5,3.5,7.6,0.523,0.0,0.1,0.5,3.5,7.6,0.523,0.523,1.5,2.0,0.829,3.0,4.1,7.0,3.0,1.1,1.1,1.8,3.4,8.4,0,24.0,21.0,9.0,5.0,4.0,18.2,,['SANJOSEST'],,0,0,0,2,1970
0,Mike Davis,1969-70,23.0,['BAL' 'BUF' 'TOT' 'MMT'],NBA,SG,73.0,,23.8,4.6,10.6,0.444,0.2,0.6,0.261,4.6,10.6,0.444,0.444,2.7,3.6,0.92,0.6,0.5,2.7,2.1,,,0.9,3.5,11.9,1,40.0,7.0,7.0,,,,,,,0,0,0,14,1969
0,Willie Davis,1970-71,25.0,['TEX'],ABA,,8.0,,3.6,0.9,1.9,0.467,0.0,0.0,,0.9,1.9,0.467,0.467,0.5,1.0,0.5,0.9,0.8,1.6,0.3,,,0.4,1.3,2.3,0,6.0,4.0,1.0,,,,,['NTEXAS'],,0,0,0,6,1967
0,Connie Dierking,1958-59,22.0,['SYR' 'PHI' 'TOT' 'SFW' 'CIN'],NBA,C,82.0,,32.6,6.9,16.4,0.467,,,,,,,,3.0,4.0,0.765,,,9.5,2.7,,,,5.0,16.7,1,45.0,28.0,13.0,,,,,['CINCY'],,0,0,0,6,1958
0,Ollie Darden,1967-68,23.0,['INA' 'TOT' 'NYA' 'KEN'],ABA,PF,77.0,,26.6,4.8,10.8,0.477,0.0,0.2,0.25,4.8,10.8,0.477,0.477,2.6,3.7,0.769,3.0,5.0,8.1,1.4,,,2.4,3.6,12.0,1,24.0,19.0,5.0,,,,,,,0,1,0,2,1966
