,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,"Career high, Blocks",Triple-Doubles
0,Randolph Keys,1988-89,22.0,['CLE' 'TOT' 'CHH' 'LAL' 'MIL'],NBA,SF,80.0,18.0,22.6,4.4,10.0,0.445,0.4,1.5,0.364,4.1,8.9,0.529,0.471,1.3,1.8,1.0,1.5,2.1,3.6,1.5,0.9,0.3,1.2,3.3,10.5,1,22.0,9.0,5.0,5.0,18.5,['SMISS'],,0,0,0,22,1988,3.0,
0,Bob Kauffman,1968-69,22.0,['SEA' 'CHI' 'BUF' 'ATL'],NBA,C,82.0,,41.6,7.9,16.8,0.505,,,,,,,,4.6,6.2,0.795,1.3,3.1,11.1,5.1,0.5,0.2,,3.5,20.4,0,44.0,22.0,11.0,3.0,,,https://www.basketball-reference.com/req/202106291/images/headshots/kauffbo01.jpg,3,0,0,3,1968,3.0,7.0
0,Tom Kerwin,1967-68,23.0,['PTP'],ABA,,13.0,,5.2,0.5,1.7,0.318,0.0,0.0,,0.5,1.7,0.318,0.318,0.0,0.2,0.0,,,1.5,0.1,,,0.2,0.4,1.1,0,6.0,5.0,,,,['CENTENARY'],,0,0,0,3,1966,,
0,Stacey King,1989-90,23.0,['CHI' 'TOT' 'MIN' 'MIA' 'BOS' 'DAL'],NBA,PF,82.0,30.0,28.7,4.3,9.4,0.714,0.0,0.1,0.4,4.3,9.4,0.714,0.714,3.2,4.6,0.753,2.2,3.8,6.1,1.3,0.7,1.7,2.2,3.2,11.8,1,24.0,16.0,7.0,3.0,22.3,['OKLAHOMA'],,0,3,0,6,1989,7.0,
0,Carl Kilpatrick,1979-80,23.0,['UTA'],NBA,C,2.0,,3.0,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.5,2.0,0.0,0.0,0.0,0.0,0.5,1.5,0,3.0,4.0,,,-0.4,['ULAMO'],,0,0,0,6,1978,,
0,Frank Kendrick,1974-75,24.0,['GSW'],NBA,SF,24.0,,5.0,1.3,3.2,0.403,,,,,,,,0.8,0.9,0.818,0.8,0.7,1.5,0.3,0.5,0.1,,0.9,3.3,0,10.0,7.0,2.0,3.0,,['PURDUE'],,0,0,0,11,1974,1.0,
0,Earnie Killum,1970-71,22.0,['LAL'],NBA,,4.0,,3.0,0.0,1.0,0.0,,,,,,,,0.3,0.3,1.0,,,0.5,0.0,,,,0.3,0.3,0,1.0,1.0,,,,,,0,0,0,13,1970,,
0,Maxi Kleber,2017-18,26.0,['DAL'],NBA,PF,74.0,40.0,26.8,3.2,6.9,0.489,1.7,4.3,0.41,1.6,2.6,0.667,0.58,1.1,1.3,0.919,1.5,4.7,5.9,1.4,0.5,1.1,0.8,2.4,9.1,0,26.0,14.0,6.0,4.0,21.8,,https://www.basketball-reference.com/req/202106291/images/headshots/klebima01.jpg,0,0,0,,,6.0,
0,Sasha Kaun,2015-16,30.0,['CLE'],NBA,C,25.0,0.0,3.8,0.4,0.7,0.529,0.0,0.0,,0.4,0.7,0.529,0.529,0.2,0.4,0.455,0.5,0.6,1.0,0.1,0.2,0.2,0.3,0.4,0.9,0,4.0,5.0,1.0,1.0,5.7,['KANSAS'],https://www.basketball-reference.com/req/202106291/images/headshots/kaunsa01.jpg,0,1,0,26,2008,2.0,
0,Jonathan Kerner,1998-99,24.0,['ORL'],NBA,C,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,,,,,-1.5,['FLORIDAST' 'ECAROLINA'],,0,0,0,,,,
