,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB,STL,BLK,TOV,"Career high, Steals","Career high, Game Score","Career high, Blocks",Triple-Doubles
0,Mike O'Koren,1980-81,22.0,['NJN' 'WSB'],NBA,SF,80.0,32.0,31.3,4.8,9.7,0.563,1.7,2.7,0.714,6.1,3.2,3.1,11.4,0,28.0,16.0,10.0,['UNC'],,0,0,0,6,1980,0.2,0.5,0.381,4.7,9.4,0.6,0.563,2.3,3.8,1.1,0.5,1.8,4.0,33.5,2.0,
0,Alan Ogg,1990-91,23.0,['MIA' 'TOT' 'MIL' 'WSB'],NBA,C,43.0,1.0,8.7,1.1,3.0,0.548,0.7,0.7,1.0,2.0,1.3,2.0,2.7,1,11.0,7.0,2.0,['UAB'],,0,0,0,,,0.0,0.1,0.0,1.1,3.0,0.548,0.548,0.7,1.7,0.3,1.0,1.0,2.0,10.1,4.0,
0,Patrick O'Bryant,2006-07,20.0,['GSW' 'TOT' 'BOS' 'TOR'],NBA,C,39.0,3.0,11.3,2.2,4.1,0.552,0.7,1.1,0.667,2.5,0.6,2.5,4.7,1,16.0,7.0,4.0,['BRADLEY'],https://www.basketball-reference.com/req/202106291/images/headshots/obryapa01.jpg,0,0,0,9,2006,0.0,0.2,0.0,2.2,3.9,0.571,0.552,0.5,2.0,0.4,0.8,0.7,3.0,10.9,4.0,
0,Emeka Okafor,2004-05,22.0,['CHA' 'NOH' 'WAS' 'NOP'],NBA,PF,82.0,82.0,35.6,6.1,13.7,0.573,3.2,4.8,0.818,11.3,1.2,3.4,15.1,0,30.0,25.0,5.0,['UCONN'],https://www.basketball-reference.com/req/202106291/images/headshots/okafoem01.jpg,0,0,0,2,2004,0.0,0.0,0.0,6.1,13.7,0.574,0.573,3.9,7.6,0.9,2.6,2.0,5.0,32.0,10.0,
0,Chris Owens,2002-03,23.0,['MEM'],NBA,SF,1.0,0.0,6.0,2.0,3.0,0.667,0.0,0.0,,1.0,0.0,0.0,4.0,0,4.0,1.0,,['TULANE' 'TEXAS'],,0,0,0,19,2002,0.0,0.0,,2.0,3.0,0.667,0.667,1.0,0.0,0.0,0.0,1.0,,2.4,,
0,Claude Overton,1952-53,25.0,['PHW'],NBA,SG,15.0,,12.1,1.3,5.0,0.253,1.3,2.0,0.667,1.7,1.0,1.7,3.9,0,25.0,4.0,3.0,,,0,0,0,5,1950,,,,,,,,,,,,,,,,
0,Dermie O'Connell,1948-49,20.0,['BOS' 'TOT' 'STB'],BAA,,61.0,,,4.1,15.0,0.276,1.4,2.7,0.569,,3.1,1.9,9.7,1,19.0,,5.0,,,0,0,0,,,,,,,,,,,,,,,,,,
0,Eddie Owens,1977-78,24.0,['BUF'],NBA,SF,8.0,,7.9,1.1,2.6,0.429,0.4,0.8,0.5,1.3,0.6,1.1,2.6,0,8.0,6.0,2.0,['UNLV'],,0,0,0,9,1977,,,,,,,,0.6,0.6,0.1,0.0,0.4,1.0,8.2,,
0,Shaquille O'Neal,1992-93,20.0,['ORL' 'LAL' 'MIA' 'TOT' 'PHO' 'CLE' 'BOS'],NBA,C,81.0,81.0,40.0,12.1,21.1,0.667,6.7,13.1,0.622,13.9,3.8,4.1,29.7,1,61.0,28.0,10.0,['LSU'],https://www.basketball-reference.com/req/202106291/images/headshots/onealsh01.jpg,15,4,1,1,1992,0.0,0.1,0.5,12.1,21.1,0.667,0.667,4.7,9.6,0.9,3.5,3.8,5.0,49.5,15.0,2.0
0,Jermaine O'Neal,1996-97,18.0,['POR' 'IND' 'TOT' 'TOR' 'MIA' 'BOS' 'PHO' 'GSW'],NBA,PF,81.0,80.0,37.6,8.8,19.4,0.529,6.7,8.9,0.835,10.5,2.6,3.9,24.3,1,55.0,21.0,7.0,,https://www.basketball-reference.com/req/202106291/images/headshots/onealje01.jpg,6,0,0,17,1996,0.1,0.3,0.333,8.8,19.3,0.53,0.529,3.1,7.9,0.9,2.8,3.0,5.0,44.0,10.0,1.0
0,Bud Olsen,1962-63,22.0,['CIN' 'TOT' 'SFW' 'SEA' 'BOS' 'DET' 'KEN'],NBA,PF,84.0,,17.4,2.8,6.5,0.479,1.8,2.5,0.738,4.5,3.0,2.8,7.5,1,24.0,13.0,7.0,['LOUISVILLE'],,0,0,0,6,1962,0.0,0.0,0.25,2.8,6.5,0.482,0.48,1.7,2.8,,,1.3,,,,
0,Ralph Ogden,1970-71,23.0,['SFW'],NBA,,32.0,,5.1,0.5,2.2,0.239,0.3,0.4,0.667,1.0,0.3,0.5,1.3,0,9.0,5.0,2.0,['SANTACLARA'],,0,0,0,2,1970,,,,,,,,,,,,,,,,
0,Travis Outlaw,2003-04,19.0,['POR' 'TOT' 'LAC' 'NJN' 'SAC'],NBA,PF,82.0,55.0,28.8,5.1,11.8,0.498,2.7,3.6,0.875,4.6,1.3,2.2,13.3,1,36.0,15.0,6.0,,https://www.basketball-reference.com/req/202106291/images/headshots/outlatr01.jpg,0,0,0,23,2003,1.2,3.2,0.4,4.6,10.5,0.502,0.506,1.2,3.4,0.9,1.1,1.3,4.0,30.1,6.0,
0,Onyeka Okongwu,2020-21,20.0,['ATL'],NBA,C,80.0,18.0,23.1,4.0,6.2,0.69,1.9,2.5,0.781,7.2,1.1,3.1,9.9,0,21.0,20.0,5.0,['USC'],https://www.basketball-reference.com/req/202106291/images/headshots/okongon01.jpg,0,0,0,6,2020,0.1,0.2,0.308,3.9,6.1,0.69,0.69,2.7,4.5,0.7,1.3,1.0,3.0,26.2,5.0,
0,Mehmet Okur,2001-02,22.0,['DET' 'UTA' 'NJN'],Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),82.0,82.0,35.9,6.3,13.8,0.485,4.3,5.5,0.85,9.1,2.4,3.5,18.0,0,43.0,18.0,8.0,,https://www.basketball-reference.com/req/202106291/images/headshots/okurme01.jpg,1,1,0,9,2001,1.6,4.2,0.446,5.4,10.9,0.498,0.536,2.6,6.5,0.8,1.1,2.0,4.0,38.9,5.0,
0,John O'Boyle,1952-53,24.0,['MLH'],NBA,SG,5.0,,19.4,1.6,5.2,0.308,1.0,1.4,0.714,2.0,1.0,4.0,4.2,0,9.0,,,['COLORADOST'],,0,0,0,,,,,,,,,,,,,,,,,,
0,Brian Oliver,1990-91,22.0,['PHI' 'WSB' 'ATL'],NBA,SG,73.0,4.0,12.2,1.5,3.8,0.444,1.0,1.3,0.75,1.8,1.2,1.3,3.8,0,19.0,5.0,7.0,['GATECH'],,0,0,0,5,1990,0.1,0.2,0.278,1.5,3.8,0.444,0.444,0.6,1.2,0.5,0.1,0.7,3.0,13.8,1.0,
0,Garland O'Shields,1946-47,25.0,['CHS'],BAA,,9.0,,,0.2,1.2,0.182,0.0,0.2,0.0,,0.1,0.9,0.4,0,4.0,,,,,0,0,0,,,,,,,,,,,,,,,,,,
0,Arinze Onuaku,2013-14,26.0,['TOT' 'NOP' 'CLE' 'MIN' 'ORL'],NBA,PF,8.0,1.0,11.3,2.0,2.3,0.857,0.5,1.3,0.5,3.5,1.0,1.0,4.5,1,12.0,8.0,3.0,['SYRACUSE'],https://www.basketball-reference.com/req/202106291/images/headshots/onuakar01.jpg,0,0,0,,,0.0,0.0,,2.0,2.3,0.857,0.857,1.2,2.3,0.2,0.5,0.3,1.0,14.0,2.0,
0,Kelly Oubre Jr.,2015-16,20.0,['WAS' 'TOT' 'PHO' 'GSW' 'CHO'],NBA,SF,81.0,55.0,34.5,7.4,17.1,0.453,3.4,4.4,0.82,6.4,1.6,3.4,20.3,1,40.0,15.0,7.0,['KANSAS'],https://www.basketball-reference.com/req/202106291/images/headshots/oubreke01.jpg,0,0,0,15,2015,2.5,7.3,0.352,5.1,10.0,0.578,0.542,1.5,5.3,1.4,1.0,1.8,6.0,35.0,4.0,
0,Mac Otten,1949-50,24.0,['TOT' 'TRI' 'STB'],NBA,,59.0,,,1.0,2.8,0.353,1.3,1.8,0.682,,0.9,2.3,3.3,1,13.0,,2.0,['BOWLGREEN'],,0,0,0,,1949,,,,,,,,,,,,,,,,
0,Tim Ohlbrecht,2012-13,24.0,['HOU'],NBA,C,3.0,0.0,4.0,0.3,1.0,0.333,0.3,0.3,1.0,0.3,0.3,0.3,1.0,0,3.0,1.0,1.0,,https://www.basketball-reference.com/req/202106291/images/headshots/ohlbrti01.jpg,0,0,0,,,0.0,0.0,,0.3,1.0,0.333,0.333,0.0,0.3,0.3,0.0,1.3,1.0,2.3,,
0,Daniel Orton,2010-11,20.0,['ORL' 'OKC' 'PHI'],Did Not Play (injury—knee),Did Not Play (injury—knee),22.0,4.0,11.7,1.1,2.1,0.567,1.0,1.6,0.767,2.8,0.7,1.9,3.0,0,11.0,10.0,3.0,['KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/ortonda01.jpg,0,0,0,29,2010,0.0,0.1,0.0,1.1,2.1,0.586,0.567,1.2,2.0,0.5,0.7,0.8,5.0,16.4,3.0,
0,Semi Ojeleye,2017-18,23.0,['BOS' 'TOT' 'MIL' 'LAC'],NBA,PF,73.0,15.0,17.0,1.6,3.9,0.424,1.3,1.6,0.875,2.9,0.7,1.3,4.6,1,24.0,8.0,3.0,['DUKE' 'SMETHODIST'],https://www.basketball-reference.com/req/202106291/images/headshots/ojelese01.jpg,0,0,0,7,2017,1.0,2.8,0.444,0.8,2.0,0.565,0.534,1.3,2.1,0.3,0.3,0.4,4.0,20.6,2.0,
0,Jimmy Oliver,1991-92,22.0,['CLE' 'BOS' 'TOR' 'WAS' 'PHO'],NBA,SG,44.0,8.0,12.3,2.0,4.9,0.5,0.6,0.8,1.0,2.0,1.0,1.0,5.0,0,21.0,6.0,5.0,['PURDUE'],,0,0,0,12,1991,1.0,2.0,1.0,1.7,4.1,0.5,0.625,0.3,2.0,0.5,0.1,0.8,3.0,19.4,1.0,
0,Eugene Omoruyi,2021-22,24.0,['DAL' 'TOT' 'OKC' 'DET'],NBA,SF,40.0,6.0,21.9,3.4,7.9,0.468,2.0,2.8,0.723,3.5,1.0,2.6,9.7,1,22.0,9.0,2.0,['RUTGERS' 'OREGON'],https://www.basketball-reference.com/req/202106291/images/headshots/omorueu01.jpg,0,0,0,,,1.0,3.4,0.5,2.4,4.5,0.571,0.511,1.2,2.2,0.8,0.2,1.1,4.0,16.4,2.0,
0,Fabricio Oberto,1997-98,22.0,['SAS' 'WAS' 'POR'],Did Not Play (other pro league—Argentina),Did Not Play (other pro league—Argentina),82.0,64.0,20.0,2.2,3.6,0.625,0.5,0.7,0.765,5.2,1.2,2.7,4.8,0,22.0,16.0,5.0,,https://www.basketball-reference.com/req/202106291/images/headshots/obertfa01.jpg,0,1,0,,,0.0,0.0,0.0,2.2,3.6,0.625,0.625,1.9,3.4,0.5,0.3,0.9,2.0,25.8,4.0,
