,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles,College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year
0,Steve Green,1975-76,22.0,['TOT' 'UTS' 'SSL' 'IND'],ABA,SF,70.0,,33.4,6.0,12.2,0.492,0.0,0.1,0.0,6.0,12.2,0.492,0.492,2.9,3.5,0.821,2.9,4.1,7.0,1.8,0.8,0.2,2.5,4.4,14.9,1,29.0,16.0,4.0,3.0,2.0,12.3,,['INDIANA'],,0,0,0,12,1975
0,Deng Gai,2005-06,23.0,['PHI'],NBA,C,2.0,0.0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,,['FAIRFIELD'],,0,0,0,,
0,Ron Grandison,1988-89,24.0,['BOS' 'CHH' 'NYK' 'TOT' 'MIA' 'ATL'],NBA,PF,72.0,3.0,13.1,1.2,2.5,0.5,0.2,0.7,0.308,1.2,2.5,0.667,0.5,2.0,3.3,0.738,1.5,2.7,3.7,1.0,0.7,0.3,1.0,1.5,3.3,1,15.0,8.0,5.0,3.0,1.0,13.3,,['UCIRVINE' 'NORLEANS'],,0,0,0,8,1987
0,Chris Gatling,1991-92,24.0,['GSW' 'TOT' 'MIA' 'DAL' 'NJN' 'MIL' 'ORL' 'DEN' 'CLE'],NBA,PF,85.0,23.0,30.7,7.0,14.3,0.633,0.4,1.2,0.304,7.0,14.3,0.634,0.633,5.0,7.1,0.938,2.9,5.2,7.9,1.0,1.3,0.9,2.6,4.3,19.1,1,38.0,20.0,5.0,4.0,4.0,27.1,,['OLDDOM'],,1,0,0,16,1991
0,Mel Gibson,1963-64,23.0,['LAL'],NBA,,9.0,,5.9,0.7,2.2,0.3,,,,,,,,0.1,0.2,0.5,,,0.4,0.7,,,,1.1,1.4,0,4.0,2.0,2.0,,,,,,,0,0,0,8,1963
0,Rudy Gobert,2013-14,21.0,['UTA' 'MIN'],NBA,C,82.0,81.0,34.3,5.9,8.8,0.713,0.0,0.1,0.0,5.9,8.8,0.718,0.713,4.6,6.7,0.69,3.9,11.0,14.7,2.0,0.8,2.7,1.9,3.2,15.9,0,35.0,28.0,8.0,5.0,9.0,38.9,,,https://www.basketball-reference.com/req/202106291/images/headshots/goberru01.jpg,3,0,0,27,2013
0,Dave Greenwood,1979-80,22.0,['CHI' 'SAS' 'TOT' 'DEN' 'DET'],NBA,PF,82.0,82.0,35.5,6.1,12.8,0.513,0.0,0.1,0.5,6.1,12.7,0.513,0.515,4.1,5.1,0.825,3.2,7.3,10.1,3.2,0.9,1.6,2.6,3.8,16.3,1,35.0,23.0,10.0,5.0,7.0,29.6,1.0,['UCLA'],https://www.basketball-reference.com/req/202106291/images/headshots/greenda01.jpg,0,1,0,2,1979
0,Jim Grandholm,1990-91,30.0,['DAL'],NBA,PF,26.0,0.0,6.5,1.2,2.2,0.517,0.3,0.7,0.529,0.8,1.6,0.512,0.595,0.4,0.8,0.476,0.8,1.2,1.9,0.3,0.1,0.3,0.4,1.3,3.0,0,10.0,5.0,2.0,1.0,3.0,10.9,,['FLORIDA' 'SFLORIDA'],,0,0,0,6,1984
0,Hassani Gravett,2021-22,25.0,['ORL'],NBA,PG,8.0,3.0,21.4,2.3,4.8,0.474,1.4,3.3,0.423,0.9,1.5,0.583,0.618,0.4,0.5,0.75,0.1,2.5,2.6,2.5,0.6,0.1,1.1,1.6,6.3,0,12.0,5.0,5.0,2.0,1.0,9.6,,['SCAROLINA'],https://www.basketball-reference.com/req/202106291/images/headshots/graveha01.jpg,0,0,0,,
0,Matt Guokas,1946-47,31.0,['PHW'],BAA,,47.0,,,0.6,2.2,0.269,,,,,,,,0.6,1.0,0.553,,,,0.2,,,,1.5,1.7,0,9.0,,,,,,,,,0,1,0,,
