,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB,STL,BLK,TOV,"Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles
0,Ruben Patterson,1998-99,23.0,['LAL' 'SEA' 'POR' 'TOT' 'DEN' 'MIL' 'LAC'],NBA,SF,81.0,74.0,31.0,5.9,10.7,0.548,3.2,5.0,0.71,5.4,2.9,2.9,14.7,1,32.0,16.0,10.0,['CINCY'],https://www.basketball-reference.com/req/202106291/images/headshots/patteru01.jpg,0,0,0,2,1998,0.1,0.5,0.444,5.8,10.5,0.557,0.55,2.7,3.1,1.5,0.6,2.6,7.0,4.0,33.3,
0,Kevin Pritchard,1990-91,23.0,['GSW' 'BOS' 'TOT' 'PHI' 'MIA' 'WSB'],NBA,PG,62.0,1.0,12.5,1.5,3.7,0.667,1.3,1.6,0.882,1.0,3.5,1.7,4.2,1,15.0,4.0,8.0,['KANSAS'],,0,0,0,7,1990,0.5,0.6,1.0,1.5,3.2,0.516,0.833,0.3,1.0,1.0,0.4,1.0,2.0,2.0,11.0,
0,Scotty Pippen Jr.,2022-23,22.0,['LAL'],NBA,PG,6.0,0.0,5.3,0.7,2.0,0.333,0.8,1.5,0.556,0.7,0.3,0.5,2.3,0,4.0,2.0,1.0,['VANDY'],https://www.basketball-reference.com/req/202106291/images/headshots/pippesc02.jpg,0,0,0,,,0.2,0.5,0.333,0.5,1.5,0.333,0.375,0.3,0.3,0.3,0.2,0.3,1.0,1.0,4.0,
0,Marty Passaglia,1946-47,27.0,['WSC' 'INJ'],BAA,,43.0,,,1.4,5.7,0.246,0.4,0.7,0.75,,1.7,1.7,3.1,0,10.0,,4.0,,,0,0,0,,,,,,,,,,,,,,,,,,
0,Anthony Peeler,1992-93,23.0,['LAL' 'VAN' 'TOT' 'MIN' 'SAC' 'WAS'],NBA,SG,82.0,57.0,33.0,5.9,14.0,0.486,2.1,2.7,0.889,3.6,3.8,3.1,14.5,1,40.0,10.0,10.0,['MISSOURI'],https://www.basketball-reference.com/req/202106291/images/headshots/peelean01.jpg,0,0,0,15,1992,1.8,4.8,0.482,5.4,11.5,0.566,0.546,1.6,2.7,1.7,0.3,2.2,6.0,3.0,32.2,
0,Robert Parish,1976-77,23.0,['GSW' 'BOS' 'CHH' 'CHI'],NBA,C,82.0,81.0,37.4,8.4,15.4,0.598,3.7,5.1,0.772,12.5,2.2,4.0,19.9,0,40.0,32.0,10.0,['CENTENARY'],https://www.basketball-reference.com/req/202106291/images/headshots/parisro01.jpg,9,4,0,8,1976,0.0,0.0,0.0,8.4,15.4,0.599,0.598,4.3,8.6,1.3,2.9,3.1,6.0,11.0,38.2,2.0
0,Johnny Payak,1949-50,23.0,['TOT' 'PHW' 'WAT' 'MLH'],NBA,SG,68.0,,21.6,2.5,8.5,0.375,3.1,4.3,0.726,1.7,2.2,2.9,8.0,1,21.0,5.0,8.0,,,0,0,0,,1949,,,,,,,,,,,,,,,,
0,Chandler Parsons,2011-12,23.0,['HOU' 'DAL' 'MEM' 'ATL'],NBA,SF,76.0,76.0,37.6,6.3,13.3,0.492,2.2,3.0,0.88,5.5,4.0,2.3,16.6,0,34.0,13.0,11.0,['FLORIDA'],https://www.basketball-reference.com/req/202106291/images/headshots/parsoch01.jpg,0,0,0,8,2011,2.0,5.3,0.421,4.5,8.6,0.559,0.571,1.4,4.6,1.2,0.5,1.9,5.0,4.0,32.9,
0,Derrick Phelps,1994-95,22.0,['SAC'],NBA,PG,3.0,0.0,1.7,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.3,1.0,0.0,0,,,1.0,['UNC'],,0,0,0,,,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,
0,Cameron Payne,2015-16,21.0,['OKC' 'TOT' 'CHI' 'CLE' 'PHO'],NBA,PG,60.0,15.0,23.3,4.1,10.1,0.491,1.3,1.8,1.0,3.9,4.9,2.5,10.9,1,29.0,8.0,16.0,['MURRAYST'],https://www.basketball-reference.com/req/202106291/images/headshots/payneca01.jpg,0,0,0,14,2015,1.9,3.9,0.517,2.9,6.5,0.6,0.596,0.7,3.4,1.0,0.4,1.8,4.0,2.0,22.8,
0,Olden Polynice,1987-88,23.0,['SEA' 'TOT' 'LAC' 'DET' 'SAC' 'UTA'],NBA,C,82.0,82.0,36.5,6.0,11.8,0.579,2.5,4.5,0.639,12.3,2.2,3.6,13.1,1,30.0,25.0,8.0,['VIRGINIA'],,0,0,0,8,1987,0.0,0.1,1.0,6.0,11.7,0.581,0.579,4.9,8.3,0.6,1.0,2.0,4.0,7.0,31.7,
0,Terry Porter,1985-86,22.0,['POR' 'MIN' 'MIA' 'SAS'],NBA,PG,82.0,82.0,38.3,6.7,14.1,0.519,5.3,5.9,0.892,4.6,10.1,2.5,18.2,0,40.0,13.0,19.0,['WISCSP'],https://www.basketball-reference.com/req/202106291/images/headshots/portete01.jpg,2,0,0,24,1985,1.8,4.3,0.435,5.7,11.4,0.564,0.584,1.0,3.8,2.0,0.2,3.2,8.0,3.0,42.4,7.0
0,Jim Pollard,1948-49,26.0,['MNL'],BAA,SF,71.0,,39.2,6.3,17.8,0.396,2.9,4.3,0.812,9.1,3.8,3.1,15.5,0,32.0,25.0,11.0,['STANFORD'],,4,5,0,,1947,,,,,,,,,,,,,,,,
0,Willie Porter,1967-68,26.0,['TOT' 'OAK' 'PTP' 'MNP' 'HSM'],ABA,PF,56.0,,26.1,4.6,11.0,0.556,3.9,5.7,1.0,8.8,1.2,3.8,13.1,1,29.0,18.0,1.0,,,0,1,0,4,1965,0.0,0.0,,4.6,11.0,0.556,0.556,2.2,2.2,,,3.3,,,,
0,Gene Phillips,1971-72,23.0,['DLC'],ABA,,28.0,,6.2,1.1,2.7,0.395,0.4,0.5,0.786,0.8,0.5,1.0,2.8,0,18.0,3.0,1.0,['SMETHODIST'],,0,0,0,17,1971,0.3,1.0,0.412,0.8,2.1,0.39,0.441,0.1,0.6,,,0.3,,,,
0,Andy Panko,2000-01,23.0,['ATL'],NBA,SF,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0,,,,['LEBVALLEY'],,0,0,0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,
0,Warren Perkins,1949-50,27.0,['TRI'],NBA,,66.0,,,2.1,7.0,0.315,1.9,3.3,0.646,4.8,2.2,4.3,6.2,0,21.0,11.0,4.0,['TULANE'],,0,0,0,,1949,,,,,,,,,,,,,,,,
0,Cliff Pondexter,1975-76,21.0,['CHI'],NBA,PF,78.0,,17.7,2.1,5.1,0.435,1.6,2.4,0.7,5.1,2.0,1.8,5.8,0,22.0,14.0,8.0,['LONGBEACH'],,0,0,0,16,1974,,,,,,,,1.5,3.6,0.4,0.3,0.7,6.0,3.0,14.7,
0,Pavel Podkolzin,2004-05,20.0,['DAL'],NBA,C,5.0,0.0,18.0,0.0,2.0,0.0,3.0,6.0,0.5,7.0,0.0,0.8,3.0,0,3.0,7.0,,,,0,0,0,21,2004,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,,1.0,1.2,
0,Marshall Plumlee,2016-17,24.0,['NYK' 'MIL'],NBA,C,21.0,1.0,8.1,0.8,1.4,0.533,1.5,2.0,0.75,2.4,0.5,1.3,1.9,0,14.0,11.0,3.0,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/plumlma02.jpg,0,0,0,,,0.0,0.0,,0.8,1.4,0.533,0.533,1.1,1.6,0.2,0.2,0.6,2.0,2.0,8.9,
0,Micah Potter,2021-22,23.0,['DET' 'UTA'],NBA,C,7.0,0.0,10.3,1.7,3.7,0.667,0.7,0.7,1.0,3.0,0.6,1.3,4.0,0,10.0,10.0,1.0,['OHIOST' 'WISCONSIN'],https://www.basketball-reference.com/req/202106291/images/headshots/pottemi01.jpg,0,0,0,,,0.6,1.0,0.571,1.7,3.0,0.75,0.8,1.3,1.9,0.3,0.3,0.3,1.0,1.0,10.4,
0,Patrick Patterson,2010-11,21.0,['HOU' 'TOT' 'SAC' 'TOR' 'OKC' 'LAC'],NBA,PF,82.0,41.0,26.6,5.0,9.7,0.558,0.9,1.1,0.87,5.8,1.9,2.5,11.6,1,27.0,14.0,6.0,['KENTUCKY'],https://www.basketball-reference.com/req/202106291/images/headshots/pattepa01.jpg,0,0,0,14,2010,1.4,3.9,0.444,4.3,7.9,0.604,0.558,2.0,3.8,0.9,0.7,1.0,4.0,5.0,22.8,
0,Payton Pritchard,2020-21,23.0,['BOS'],NBA,SG,71.0,4.0,19.2,2.8,6.3,0.44,0.6,0.7,1.0,2.4,2.0,1.6,7.7,0,30.0,14.0,11.0,['OREGON'],https://www.basketball-reference.com/req/202106291/images/headshots/pritcpa01.jpg,0,0,0,26,2020,1.5,3.8,0.412,1.2,2.6,0.495,0.564,0.5,1.9,0.6,0.1,0.8,4.0,2.0,24.2,1.0
0,Ben Poquette,1977-78,22.0,['DET' 'UTA' 'CLE' 'TOT' 'CHI'],NBA,PF,82.0,56.0,34.2,4.4,9.3,0.528,2.2,2.9,0.832,7.7,2.2,4.2,11.0,1,30.0,18.0,6.0,['CMICHIGAN'],,0,0,0,14,1977,0.0,0.2,0.5,4.4,9.2,0.538,0.53,2.1,5.7,0.9,2.1,1.5,4.0,10.0,24.7,
0,Roy Pugh,1948-49,26.0,['TOT' 'INJ' 'FTW' 'PHW'],BAA,,23.0,,,1.0,2.8,0.5,0.3,1.0,0.4,,0.5,0.9,2.3,1,8.0,,3.0,,,0,0,0,,1948,,,,,,,,,,,,,,,,
0,Harold Pressley,1986-87,23.0,['SAC'],NBA,SF,80.0,49.0,28.2,4.8,10.9,0.453,1.5,2.0,0.792,6.1,2.3,2.7,12.3,0,31.0,15.0,8.0,['VILLANOVA'],,0,0,0,17,1986,1.5,3.7,0.403,3.5,7.4,0.476,0.507,2.7,3.4,1.2,1.0,1.7,5.0,5.0,27.1,
0,Andrae Patterson,1998-99,23.0,['MIN'],NBA,PF,35.0,0.0,8.1,1.2,2.8,0.75,0.8,1.0,0.778,1.9,0.4,1.8,3.3,0,12.0,7.0,3.0,['INDIANA'],,0,0,0,17,1998,0.0,0.1,0.0,1.2,2.6,0.75,0.75,0.9,1.0,0.5,0.2,0.6,3.0,1.0,11.4,
0,Phil Pressey,2013-14,22.0,['BOS' 'TOT' 'PHI' 'PHO'],NBA,PG,75.0,11.0,15.1,1.5,3.9,0.391,0.7,1.3,0.673,1.6,3.3,1.6,3.9,1,20.0,5.0,13.0,['MISSOURI'],https://www.basketball-reference.com/req/202106291/images/headshots/pressph01.jpg,0,0,0,,,0.4,1.4,0.308,1.2,3.0,0.5,0.418,0.3,1.6,0.9,0.3,1.6,4.0,3.0,16.1,
0,Bob Priddy,1952-53,22.0,['BLB'],NBA,,16.0,,9.3,0.9,2.4,0.368,0.5,0.9,0.571,2.3,0.4,2.3,2.3,0,8.0,,,['NMSTATE'],,0,0,0,,1952,,,,,,,,,,,,,,,,
