,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,STL,"Career high, Steals",Triple-Doubles,"Career high, Blocks","Career high, Game Score"
0,Bracey Wright,2005-06,21.0,['MIN'],NBA,SG,19.0,0.0,19.3,3.0,7.3,0.412,0.9,2.4,0.353,2.1,4.9,0.45,0.471,2.0,2.3,0.875,0.4,2.1,2.6,0.8,0.1,1.1,1.1,8.9,0,19.0,6.0,4.0,['INDIANA'],,0,0,0,17,2005,0.5,2.0,,1.0,10.8
0,Lenny Wilkens,1960-61,23.0,['STL' 'SEA' 'CLE' 'POR'],NBA,PG,82.0,,43.5,7.9,18.2,0.466,,,,,,,,6.7,8.7,0.828,1.1,2.7,6.6,9.6,0.2,,3.7,22.4,0,41.0,15.0,20.0,['PROVIDENCE'],https://www.basketball-reference.com/req/202106291/images/headshots/wilkele01.jpg,9,0,0,6,1960,1.3,7.0,13.0,4.0,
0,Jamie Watson,1994-95,22.0,['UTA' 'TOT' 'DAL' 'MIA'],NBA,SF,60.0,6.0,21.1,2.0,4.7,0.5,0.3,0.9,0.429,1.7,3.8,0.534,0.516,0.8,0.9,0.833,1.4,1.5,2.9,2.3,0.2,1.5,1.9,4.5,1,14.0,6.0,6.0,['SCAROLINA'],,0,0,0,20,1994,1.1,5.0,,1.0,12.8
0,Rex Walters,1993-94,23.0,['NJN' 'TOT' 'PHI' 'MIA'],NBA,SG,80.0,30.0,17.9,2.6,5.9,0.542,1.0,2.5,0.5,1.7,3.4,0.625,0.604,1.1,1.4,1.0,0.4,1.5,1.8,2.9,0.2,1.0,1.9,6.8,1,27.0,9.0,12.0,['NWESTERN' 'KANSAS'],,0,0,0,16,1993,0.7,5.0,,2.0,29.6
0,Mitchell Wiggins,1983-84,24.0,['CHI' 'HOU' 'PHI'],NBA,SG,82.0,52.0,28.1,6.3,12.9,0.488,0.1,0.4,0.261,6.3,12.9,0.492,0.489,2.9,3.6,0.81,2.3,2.3,4.3,2.4,0.2,1.7,3.4,15.5,0,34.0,10.0,9.0,['CLEMSON' 'FLORIDAST'],,0,0,0,23,1983,1.4,5.0,,2.0,26.6
0,Samaki Walker,1996-97,20.0,['DAL' 'SAS' 'LAL' 'MIA' 'WAS' 'IND'],NBA,PF,71.0,63.0,25.0,3.8,7.8,0.512,0.0,0.1,0.333,3.8,7.8,0.512,0.512,1.4,2.5,1.0,2.3,5.1,7.4,1.0,1.3,1.5,3.1,8.9,0,26.0,20.0,5.0,['LOUISVILLE'],https://www.basketball-reference.com/req/202106291/images/headshots/walkesa01.jpg,0,1,0,9,1996,0.7,3.0,,5.0,18.8
0,Hakim Warrick,2005-06,23.0,['MEM' 'TOT' 'MIL' 'CHI' 'PHO' 'NOH' 'CHA'],NBA,PF,82.0,43.0,26.2,4.5,8.7,0.524,0.2,0.6,0.271,4.5,8.6,0.53,0.524,3.6,4.7,1.0,1.8,3.5,5.1,0.9,0.5,2.0,2.8,12.7,1,32.0,16.0,5.0,['SYRACUSE'],https://www.basketball-reference.com/req/202106291/images/headshots/warriha01.jpg,0,0,0,19,2005,1.0,3.0,,3.0,28.8
0,Shawne Williams,2006-07,20.0,['IND' 'DAL' 'NYK' 'NJN' 'LAL' 'TOT' 'MIA' 'DET'],NBA,SG,65.0,22.0,21.0,2.6,6.0,0.469,1.4,3.6,0.401,1.8,3.6,0.519,0.55,1.2,1.6,1.0,1.3,3.9,4.6,0.9,0.8,0.9,2.6,7.1,1,25.0,12.0,4.0,['MEMPHIS'],https://www.basketball-reference.com/req/202106291/images/headshots/willish03.jpg,0,0,0,17,2006,0.6,3.0,,5.0,20.4
0,Trendon Watford,2021-22,21.0,['POR'],NBA,SF,62.0,12.0,19.1,3.0,5.6,0.56,0.4,1.0,0.391,2.8,4.8,0.602,0.599,1.5,2.0,0.755,1.2,3.2,4.1,2.1,0.6,1.1,2.4,7.6,0,27.0,14.0,8.0,['LSU'],https://www.basketball-reference.com/req/202106291/images/headshots/watfotr01.jpg,0,0,0,,,0.5,3.0,,4.0,25.7
0,Michael Wiley,1980-81,23.0,['SAS' 'SDC'],NBA,PF,61.0,1.0,16.6,3.3,5.9,0.565,0.0,0.1,0.0,3.3,5.8,0.573,0.565,1.6,2.3,0.75,1.1,1.9,3.0,0.9,0.3,1.2,2.1,8.3,0,28.0,9.0,5.0,['LONGBEACH'],,0,0,0,16,1980,0.7,3.0,,3.0,21.8
0,Win Wilfong,1957-58,24.0,['STL' 'CIN'],NBA,PG,72.0,,27.7,3.9,10.6,0.37,,,,,,,,2.3,3.4,0.809,,,4.9,3.7,,,3.2,10.1,0,25.0,11.0,11.0,['MISSOURI' 'MEMPHIS'],,0,1,0,4,1957,,,,,
0,Howard Wood,1981-82,22.0,['UTA'],NBA,SF,42.0,3.0,8.1,1.3,2.9,0.458,0.0,0.0,0.0,1.3,2.8,0.462,0.458,0.8,1.2,0.654,0.5,1.0,1.5,0.2,0.1,0.4,0.9,3.4,0,16.0,7.0,1.0,['TENNESSEE'],,0,0,0,4,1981,0.2,2.0,,2.0,12.5
0,Rickey Williams,1982-83,25.0,['UTA'],NBA,SG,44.0,0.0,7.9,1.3,3.1,0.415,0.0,0.1,0.0,1.3,3.0,0.424,0.415,0.8,1.2,0.66,0.3,0.5,0.9,0.8,0.1,0.9,1.0,3.3,0,13.0,5.0,5.0,['NMEXICO' 'LONGBEACH'],,0,0,0,4,1978,0.5,2.0,,2.0,11.5
0,Mo Williams,2003-04,21.0,['UTA' 'MIL' 'CLE' 'TOT' 'LAC' 'POR' 'MIN' 'CHO'],NBA,SG,81.0,81.0,36.5,6.9,15.4,0.48,2.3,6.6,0.436,5.7,12.1,0.512,0.548,3.1,3.4,0.912,0.8,4.0,4.8,7.1,0.3,3.0,3.0,17.8,1,52.0,11.0,15.0,['ALABAMA'],https://www.basketball-reference.com/req/202106291/images/headshots/willima01.jpg,1,1,0,18,2003,1.3,6.0,1.0,4.0,38.4
0,Marv Winkler,1970-71,22.0,['MIL' 'INA'],NBA,,20.0,,7.8,1.0,3.3,0.3,0.1,0.2,0.5,1.0,3.3,0.3,0.3,0.7,0.7,1.0,0.4,0.5,1.3,0.7,,0.6,1.0,2.7,0,7.0,4.0,4.0,,,0,1,0,16,1970,,,,,
0,Richard Washington,1976-77,21.0,['KCK' 'MIL' 'TOT' 'DAL' 'CLE'],NBA,PF,82.0,2.0,28.6,5.4,12.6,0.477,0.0,0.1,0.5,5.4,12.6,0.477,0.477,2.2,3.1,0.754,2.5,6.1,8.5,1.6,1.1,2.4,4.2,13.0,1,30.0,21.0,6.0,['UCLA'],,0,0,0,3,1976,0.9,5.0,,6.0,25.0
0,Foots Walker,1974-75,23.0,['CLE' 'NJN'],NBA,PG,81.0,54.0,31.9,3.8,8.1,0.464,0.1,0.2,0.4,3.8,8.1,0.471,0.464,2.6,3.2,0.889,1.1,2.8,3.8,8.0,0.3,2.3,2.8,10.1,0,26.0,12.0,18.0,['WGEORGIA'],,0,0,0,2,1974,2.4,8.0,2.0,3.0,27.3
0,Chris Webber,1993-94,20.0,['GSW' 'WSB' 'WAS' 'SAC' 'TOT' 'PHI' 'DET'],NBA,C,76.0,76.0,40.9,11.2,23.4,0.552,1.0,2.9,0.441,11.2,23.0,0.559,0.571,4.7,6.6,0.799,4.0,9.4,13.0,5.5,2.2,3.5,3.8,27.1,1,51.0,26.0,13.0,['MICHIGAN'],https://www.basketball-reference.com/req/202106291/images/headshots/webbech01.jpg,5,0,0,1,1993,1.8,8.0,21.0,9.0,40.7
0,Dion Waiters,2012-13,21.0,['CLE' 'TOT' 'OKC' 'MIA' 'LAL'],NBA,SG,80.0,48.0,30.6,6.1,14.4,0.433,2.7,6.6,0.471,4.8,10.6,0.558,0.538,2.6,3.5,0.875,0.6,3.7,3.7,4.3,0.7,2.3,2.3,15.9,1,33.0,10.0,11.0,['SYRACUSE'],https://www.basketball-reference.com/req/202106291/images/headshots/waitedi01.jpg,0,1,0,4,2012,1.3,5.0,,3.0,28.1
0,Chet Walker,1962-63,22.0,['SYR' 'PHI' 'CHI'],NBA,SF,82.0,,36.5,8.0,17.3,0.505,,,,,,,,6.2,7.3,0.875,1.6,4.2,10.3,2.5,0.1,,3.1,22.0,0,56.0,21.0,8.0,['BRADLEY'],https://www.basketball-reference.com/req/202106291/images/headshots/walkech01.jpg,7,1,0,5,1962,0.8,5.0,,1.0,
0,Jayson Williams,1990-91,22.0,['PHI' 'NJN'],NBA,PF,80.0,65.0,36.0,5.4,13.2,0.498,0.0,0.1,0.5,5.4,13.1,0.501,0.498,3.0,4.5,0.666,6.8,7.6,13.6,1.2,2.0,2.0,4.2,13.4,0,35.0,26.0,5.0,['STJOHNS'],https://www.basketball-reference.com/req/202106291/images/headshots/willija01.jpg,1,0,0,21,1990,0.8,3.0,,6.0,29.6
0,Donald Whiteside,1996-97,27.0,['TOR' 'ATL'],NBA,PG,27.0,1.0,9.6,0.7,2.0,0.5,0.4,1.3,0.333,0.3,0.7,1.0,0.5,0.4,0.7,0.733,0.1,0.4,0.4,1.3,0.0,0.6,0.9,2.2,0,9.0,2.0,3.0,['NILLINOIS'],,0,0,0,,,0.4,2.0,,,9.1
0,Robert Whaley,2005-06,23.0,['UTA'],NBA,C,23.0,0.0,9.2,1.0,2.5,0.404,0.0,0.0,,1.0,2.5,0.404,0.404,0.1,0.3,0.5,0.7,1.2,1.9,0.7,0.3,0.6,1.8,2.1,0,11.0,7.0,2.0,['BARTONCCC' 'CINCY' 'WALSHOH'],,0,0,0,21,2005,0.3,1.0,,2.0,5.7
