,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,3P,3PA,3P%,2P,2PA,2P%,eFG%,ORB,DRB,STL,BLK,TOV,"Career high, Steals","Career high, Blocks","Career high, Game Score",Triple-Doubles
0,Matisse Thybulle,2019-20,22.0,['PHI' 'TOT' 'POR'],NBA,SG,71.0,50.0,27.7,2.7,6.2,0.5,0.5,0.7,0.791,3.5,1.4,2.4,7.4,1,20.0,9.0,6.0,['WASHINGTON'],https://www.basketball-reference.com/req/202106291/images/headshots/thybuma01.jpg,0,0,0,20,2019,1.5,3.9,0.388,1.6,2.4,0.673,0.575,0.9,2.6,1.7,1.1,0.8,6.0,4.0,18.3,
0,Otis Thorpe,1984-85,22.0,['KCK' 'SAC' 'HOU' 'TOT' 'POR' 'DET' 'VAN' 'WAS' 'MIA' 'CHH'],NBA,PF,82.0,82.0,38.2,7.6,15.0,0.6,5.6,7.4,0.833,10.6,3.4,4.0,20.8,1,40.0,26.0,11.0,['PROVIDENCE'],https://www.basketball-reference.com/req/202106291/images/headshots/thorpot01.jpg,1,1,0,9,1984,0.0,0.1,0.429,7.6,14.9,0.602,0.6,3.5,7.3,1.0,0.7,2.9,6.0,4.0,33.9,3.0
0,John Thomas,1997-98,22.0,['TOT' 'BOS' 'TOR' 'MIN' 'MEM' 'ATL' 'NJN'],NBA,PF,55.0,11.0,18.0,1.8,3.2,1.0,0.8,1.2,0.788,5.0,0.4,2.1,4.3,1,13.0,11.0,4.0,['MINNESOTA'],https://www.basketball-reference.com/req/202106291/images/headshots/thomajo02.jpg,0,0,0,25,1997,0.0,0.0,0.0,1.8,3.1,1.0,1.0,3.5,1.8,0.6,0.5,1.0,3.0,3.0,16.0,
0,John Trapp,1968-69,23.0,['SDR' 'LAL' 'TOT' 'PHI' 'DNR'],NBA,SF,82.0,,25.4,4.3,10.5,0.443,2.1,2.9,0.755,6.2,1.7,4.1,10.7,1,35.0,17.0,6.0,,,0,1,0,1,1968,0.0,0.1,0.0,4.3,10.5,0.443,0.443,1.1,1.9,,,1.0,,,,
0,John Turner,1991-92,24.0,['HOU'],NBA,SF,42.0,0.0,8.2,1.0,2.3,0.439,0.7,1.4,0.525,1.9,0.3,1.0,2.8,0,15.0,7.0,2.0,['GEORGETOWN' 'PHILLIPS'],,0,0,0,20,1991,0.0,0.0,,1.0,2.3,0.439,0.439,0.9,1.0,0.1,0.1,0.8,1.0,1.0,10.5,
0,Chris Taft,2005-06,20.0,['GSW'],NBA,C,17.0,0.0,8.5,1.4,2.2,0.605,0.1,0.4,0.167,2.1,0.1,1.5,2.8,0,7.0,6.0,1.0,['PITT'],,0,0,0,12,2005,0.0,0.0,,1.4,2.2,0.605,0.605,1.1,1.0,0.1,0.4,0.1,1.0,3.0,6.8,
0,Alando Tucker,2007-08,23.0,['PHO' 'TOT' 'MIN'],NBA,SF,30.0,1.0,9.4,1.7,4.0,0.444,1.5,1.9,0.833,1.3,0.4,0.5,4.6,1,16.0,5.0,2.0,['WISCONSIN'],https://www.basketball-reference.com/req/202106291/images/headshots/tuckeal02.jpg,0,0,0,29,2007,0.3,0.8,0.348,1.5,3.3,0.522,0.463,0.7,0.7,0.2,0.2,0.5,1.0,1.0,11.4,
0,Bob Thornton,1985-86,23.0,['NYK' 'TOT' 'PHI' 'MIN' 'UTA' 'WSB'],NBA,PF,71.0,23.0,18.6,1.8,3.9,0.532,1.2,2.3,1.0,4.1,0.6,3.3,4.7,1,17.0,14.0,5.0,['UCIRVINE'],,0,0,0,17,1984,0.0,0.1,0.333,1.8,3.9,0.541,0.532,1.6,2.5,0.4,0.3,1.2,3.0,4.0,13.1,
0,Tom Tolbert,1988-89,23.0,['CHH' 'GSW' 'ORL' 'LAC'],NBA,SF,72.0,61.0,25.5,3.1,7.0,0.498,2.5,3.4,1.0,5.7,1.3,3.1,8.8,0,27.0,16.0,9.0,['UCIRVINE' 'ARIZONA'],,0,0,0,9,1988,0.1,0.4,0.375,3.0,6.6,0.509,0.508,1.8,3.9,0.6,0.6,1.7,3.0,4.0,24.4,
0,Terry Teagle,1982-83,22.0,['HOU' 'TOT' 'DET' 'GSW' 'LAL'],NBA,SG,82.0,52.0,29.0,6.6,13.7,0.541,3.0,3.6,0.841,4.5,2.1,2.9,16.1,1,44.0,12.0,7.0,['BAYLOR'],,0,0,0,16,1982,0.1,0.4,0.5,6.5,13.5,0.542,0.548,1.7,3.1,1.2,0.4,1.9,7.0,4.0,35.8,
0,Blackie Towery,1948-49,28.0,['TOT' 'FTW' 'INJ' 'BLB'],BAA,,68.0,,,3.9,14.6,0.327,3.8,5.0,0.757,,3.6,4.3,11.5,1,21.0,,5.0,,,0,0,0,,,,,,,,,,,,,,,,,,
