,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,MidSeasonTrade,"Career high, Points",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,ORB,DRB,STL,BLK,TOV,"Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Game Score",3P,3PA,3P%,2P,2PA,2P%,eFG%,"Career high, Blocks",Triple-Doubles
0,Craig Spitzer,1967-68,22.0,['CHI'],NBA,C,10.0,,4.4,0.8,2.1,0.381,0.2,0.3,0.667,2.4,0.0,0.4,1.8,0,5.0,['TULANE'],,0,0,0,,,,,,,,6.0,,,,,,,,,,,,
0,Grant Simmons,1967-68,24.0,['DNR'],ABA,PG,78.0,,29.0,3.7,8.8,0.424,2.7,3.8,0.705,3.1,2.3,3.0,10.2,0,29.0,['NEBRASKA'],,0,0,0,3,1966,0.4,1.2,,,2.0,6.0,5.0,,,0.1,0.3,0.5,3.7,8.5,0.437,0.425,,
0,Frank Selvy,1954-55,22.0,['TOT' 'BLB' 'MLH' 'STL' 'MNL' 'NYK' 'SYR' 'LAL'],NBA,SF,80.0,,39.3,7.7,20.5,0.424,6.6,9.1,0.767,7.0,4.8,3.3,22.1,1,42.0,['FURMAN'],,2,0,0,1,1954,,,,,,12.0,12.0,,,,,,,,,,,
0,Stevin Smith,1996-97,25.0,['DAL'],NBA,SG,8.0,0.0,7.5,0.8,2.3,0.333,0.1,0.1,1.0,1.3,0.5,1.1,1.8,0,4.0,['ARIZONAST'],,0,0,0,,,0.3,1.0,0.1,0.0,0.5,5.0,3.0,1.0,2.2,0.1,0.8,0.167,0.6,1.5,0.417,0.361,,
0,Tom Scheffler,1984-85,30.0,['POR'],NBA,C,39.0,0.0,6.9,0.5,1.3,0.412,0.3,0.5,0.5,1.9,0.3,1.2,1.3,0,10.0,['PURDUE'],,0,0,0,7,1977,0.5,1.5,0.2,0.3,0.4,9.0,2.0,2.0,8.9,0.0,0.0,,0.5,1.3,0.412,0.412,2.0,
0,Jerry Sichting,1980-81,24.0,['IND' 'BOS' 'TOT' 'POR' 'CHH' 'MIL'],NBA,PG,82.0,80.0,31.2,5.0,9.3,0.57,3.0,4.0,0.924,2.1,5.7,2.4,11.5,1,29.0,['PURDUE'],,0,1,0,16,1979,0.6,1.6,1.3,0.1,1.8,7.0,16.0,5.0,29.3,0.3,0.5,0.571,4.9,9.1,0.578,0.589,2.0,
0,Amar'e Stoudemire,2002-03,20.0,['PHO' 'NYK' 'TOT' 'DAL' 'MIA'],NBA,PF,82.0,82.0,36.8,9.5,19.0,0.59,7.3,9.9,0.889,9.6,2.6,3.7,26.0,1,50.0,,https://www.basketball-reference.com/req/202106291/images/headshots/stoudam01.jpg,6,0,0,9,2002,3.0,6.9,1.2,2.1,3.2,23.0,8.0,6.0,50.2,0.1,0.4,0.435,9.4,18.7,0.601,0.592,10.0,
0,Pape Sow,2004-05,23.0,['TOR'],NBA,C,42.0,25.0,14.0,1.3,2.9,0.431,1.0,1.4,0.719,3.5,0.3,2.8,3.5,0,13.0,['CALSTFULL'],,0,0,0,18,2004,1.3,2.2,0.5,0.5,0.7,15.0,2.0,3.0,14.0,0.0,0.0,,1.3,2.9,0.431,0.431,3.0,
0,Roger Schurig,1967-68,25.0,['HSM'],ABA,PG,21.0,,12.0,1.7,4.5,0.372,1.3,1.7,0.75,1.4,0.9,1.8,4.8,0,15.0,['VANDY'],,0,0,0,,,,,,,1.1,5.0,,,,0.1,0.4,0.375,1.5,4.1,0.372,0.388,,
0,Rodney Stuckey,2007-08,21.0,['DET' 'IND'],NBA,PG,79.0,67.0,34.2,6.2,15.2,0.44,4.9,5.8,0.866,3.8,5.2,2.8,16.6,0,40.0,['EWASHINGTN'],https://www.basketball-reference.com/req/202106291/images/headshots/stuckro01.jpg,0,0,0,15,2007,1.0,3.0,1.4,0.2,2.2,14.0,14.0,5.0,32.9,0.8,2.4,0.39,5.9,14.1,0.457,0.477,2.0,
